32	21.3
44	19.8
56	20.7
60	21.7
61	18.8
64	20.6
72	21
81	19.5
96	22
101	19
124	20.3
125	19.5
126	19
128	17.9
129	19.5
130	18.8
141	19.1
252	21.3
253	19.3
254	19.6
256	20.1
257	20.4
258	20.6
259	21.1
300	22
400	20.6
511	19.9
512	20.4
513	20.4
543	21.2
544	21.2
545	21.6
575	21.5
576	20.2
577	20.9
607	20.8
608	20.9
609	21.1
639	20.7
640	20.9
641	20.5
671	21.7
672	20.6
673	19.6
703	20.6
704	20.6
705	20.8
735	19.3
736	20.2
737	20.2
767	17.2
768	15.5
769	20
799	20.9
800	20.8
801	20.6
831	20.4
832	20.5
833	20.5
863	20.7
864	19.7
865	20.2
895	20.3
896	20.4
897	19.8
927	18.9
928	19.5
929	19.6
959	20.4
960	19.5
961	19.4
991	20
992	20.1
993	20.6
1023	19.2
1024	19.4
1025	19.3
1343	19.1
1264	19.1
1748	19.2
1788	17.8
1486	19
1627	18.4
1989	19.8
1230	19.6
1560	17.6
1088	19.9
1494	19.2
1198	20.4
1409	18.7
1728	17.9
1478	18.6
1682	19.6
1436	19.5
1731	19.5
1901	19.5
1875	20
1746	19.5
1809	19.9
1903	20.1
1877	20
1681	19.8
1856	20
1462	19.1
1713	20.3
1400	19.5
1798	20
1471	19.4
1789	19.7
1777	19.7
1441	18.6
1401	18.6
1754	19.5
1899	19.7
1992	17.8
1002	20.4
2048	17.4
1716	18
1315	19.7
1915	19.4
1652	19.6
1278	20
1594	19.3
1187	19.9
1922	20.1
1017	19.1
1688	19.3
1723	19.6
1030	19.8
1027	19.6
1262	19
1904	19.6
1678	19.6
1862	19.2
1076	19.3
1142	18
1322	18.3
1906	20
1049	20.6
1104	19.5
2038	19.2
2047	17.7
2048	17.5
2058	19.3
