32	9.93
44	13
56	15.1
60	23.7
61	11.2
64	13.2
72	23.4
81	17.6
96	24
101	16.2
124	17
125	17.4
126	17.8
128	18.6
129	19.1
130	19.6
141	19.7
252	21.9
253	20
254	20.2
256	20.7
257	21
258	21.2
259	21.4
300	22
400	21.3
511	20.8
512	20
513	20.7
543	21.4
544	21.5
545	21.9
575	22.4
576	20.7
577	20.5
607	21.2
608	21.2
609	21.7
639	21.2
640	20.7
641	21.4
671	21.3
672	20.4
673	20.6
703	21.4
704	21.6
705	21.5
735	21
736	21.3
737	20.9
767	17.8
768	15.7
769	20.8
799	20.1
800	20.6
801	20.7
831	18.9
832	18.1
833	19.2
863	20.4
864	20.2
865	19.7
895	20.2
896	20.4
897	19.7
927	18.5
928	19.8
929	19.4
959	20.2
960	19.6
961	19.1
991	18.4
992	19.1
993	20.5
1023	19.3
1024	18.7
1025	19
1343	19.2
1264	19.7
1748	19.8
1788	18.1
1486	20.2
1627	19.5
1989	20.4
1230	19.9
1560	18.2
1088	19.6
1494	19.2
1198	20.8
1409	19.4
1728	18.4
1478	19.3
1682	19.7
1436	19.1
1731	19.7
1901	20.3
1875	19.9
1746	19.4
1809	20.2
1903	19.8
1877	20.3
1681	19.5
1856	20.2
1462	18.6
1713	19.7
1400	18.8
1798	20.3
1471	19.1
1789	19.8
1777	19.6
1441	18.6
1401	18.6
1754	19.3
1899	20.3
1992	18.8
1002	20.9
2048	18
1716	18.5
1315	19.8
1915	19.9
1652	20
1278	19.9
1594	19.8
1187	20.5
1922	20.2
1017	19.7
1688	19.8
1723	19.6
1030	19.6
1027	20
1262	18.4
1904	20.2
1678	20.1
1862	20
1076	20.3
1142	18.9
1322	19.7
1906	20.5
1049	19.6
1104	18.6
2038	19.2
2047	17.6
2048	17.7
2058	19.8
