Description:	Multilevel blocked dgemm.

L1 Block Size: 32
L2 Block Size: 96
L3 Block Size: 1056
Size: 511	Gflop/s: 9.03
Size: 512	Gflop/s: 7.47
Size: 513	Gflop/s: 10.4
Size: 543	Gflop/s: 11.6
Size: 544	Gflop/s: 11.5
Size: 545	Gflop/s: 11.6
Size: 575	Gflop/s: 11.4
Size: 576	Gflop/s: 10.5
Size: 577	Gflop/s: 11.6
Size: 607	Gflop/s: 11.5
Size: 608	Gflop/s: 11.2
Size: 609	Gflop/s: 11.5
Size: 639	Gflop/s: 11.2
Size: 640	Gflop/s: 9.26
Size: 641	Gflop/s: 11.2
Size: 671	Gflop/s: 11.5
Size: 672	Gflop/s: 11.4
Size: 673	Gflop/s: 11.5
Size: 703	Gflop/s: 11.2
Size: 704	Gflop/s: 10.1
Size: 705	Gflop/s: 11
Size: 735	Gflop/s: 10.9
Size: 736	Gflop/s: 11
Size: 737	Gflop/s: 11.1
Size: 767	Gflop/s: 9.57
Size: 768	Gflop/s: 8.69
Size: 769	Gflop/s: 11.2
Size: 799	Gflop/s: 11.5
Size: 800	Gflop/s: 11.2
Size: 801	Gflop/s: 11.6
Size: 831	Gflop/s: 11.5
Size: 832	Gflop/s: 10.2
Size: 833	Gflop/s: 11.5
Size: 863	Gflop/s: 11.1
Size: 864	Gflop/s: 11
Size: 865	Gflop/s: 11.3
Size: 895	Gflop/s: 11.2
Size: 896	Gflop/s: 9.46
Size: 897	Gflop/s: 11.2
Size: 927	Gflop/s: 11.2
Size: 928	Gflop/s: 11
Size: 929	Gflop/s: 11.1
Size: 959	Gflop/s: 9.5
Size: 960	Gflop/s: 9.6
Size: 961	Gflop/s: 10.9
Size: 991	Gflop/s: 10.7
Size: 992	Gflop/s: 9.2
Size: 993	Gflop/s: 11.2
Size: 1023	Gflop/s: 8.81
Size: 1024	Gflop/s: 6.63
Size: 1025	Gflop/s: 9.57
