Description:	Multilevel blocked dgemm.

L1 Block Size: 34
L2 Block Size: 102
L3 Block Size: 1122
Size: 511	Gflop/s: 4.62
Size: 512	Gflop/s: 2.52
Size: 513	Gflop/s: 4.61
Size: 543	Gflop/s: 4.72
Size: 544	Gflop/s: 3.8
Size: 545	Gflop/s: 4.75
Size: 575	Gflop/s: 4.81
Size: 576	Gflop/s: 3.54
Size: 577	Gflop/s: 4.85
Size: 607	Gflop/s: 4.8
Size: 608	Gflop/s: 3.84
Size: 609	Gflop/s: 4.77
Size: 639	Gflop/s: 4.77
Size: 640	Gflop/s: 3.21
Size: 641	Gflop/s: 4.77
Size: 671	Gflop/s: 4.78
Size: 672	Gflop/s: 3.84
Size: 673	Gflop/s: 4.79
Size: 703	Gflop/s: 4.78
Size: 704	Gflop/s: 3.55
Size: 705	Gflop/s: 4.82
Size: 735	Gflop/s: 4.76
Size: 736	Gflop/s: 3.84
Size: 737	Gflop/s: 4.76
Size: 767	Gflop/s: 4.76
Size: 768	Gflop/s: 3.02
Size: 769	Gflop/s: 4.76
Size: 799	Gflop/s: 4.78
Size: 800	Gflop/s: 3.81
Size: 801	Gflop/s: 4.78
Size: 831	Gflop/s: 4.74
Size: 832	Gflop/s: 3.52
Size: 833	Gflop/s: 4.77
Size: 863	Gflop/s: 4.71
Size: 864	Gflop/s: 3.72
Size: 865	Gflop/s: 4.7
Size: 895	Gflop/s: 4.81
Size: 896	Gflop/s: 3.23
Size: 897	Gflop/s: 4.76
Size: 927	Gflop/s: 4.68
Size: 928	Gflop/s: 3.77
Size: 929	Gflop/s: 4.69
Size: 959	Gflop/s: 4.66
Size: 960	Gflop/s: 3.49
Size: 961	Gflop/s: 4.69
Size: 991	Gflop/s: 4.72
Size: 992	Gflop/s: 3.78
Size: 993	Gflop/s: 4.72
Size: 1023	Gflop/s: 4.32
Size: 1024	Gflop/s: 2.21
Size: 1025	Gflop/s: 4.34
